reg;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;ps12mois;ps12mois_inf;ps12mois_sup
28;Vague 10 : 8-10 juin;15,5;9,5;24,2;9,5;4,9;17,5;64,1;54,0;73,1;;;
32;Vague 10 : 8-10 juin;18,4;13,5;24,7;12,5;8,5;18,1;69,1;62,8;75,4;;;
44;Vague 10 : 8-10 juin;17,6;12,4;24,5;11,8;7,7;17,7;65,4;57,8;72,3;;;
52;Vague 10 : 8-10 juin;16,6;10,9;24,5;11,3;6,7;18,2;58,8;49,9;67,2;;;
53;Vague 10 : 8-10 juin;8,1;4,3;15,0;7,2;3,6;13,8;54,7;45,2;63,9;;;
75;Vague 10 : 8-10 juin;13,5;9,5;19,0;9,5;6,2;14,3;60,5;53,4;67,1;;;
76;Vague 10 : 8-10 juin;12,2;8,0;18,1;9,8;6,1;15,3;66,1;58,7;72,7;;;
84;Vague 10 : 8-10 juin;16,7;12,5;22,1;14,9;10,9;20,1;65,7;59,6;71,4;;;
93;Vague 10 : 8-10 juin;17,8;12,3;25,0;9,1;5,5;14,9;65,8;57,6;73,2;;;
11;Vague 11 : 22-24 juin;14,4;11,0;18,5;13,6;10,3;17,6;58,3;53,1;63,3;;;
24;Vague 11 : 22-24 juin;15,6;9,2;25,3;6,1;2,5;13,9;56,0;45,0;66,5;;;
27;Vague 11 : 22-24 juin;12,3;7,1;20,5;9,2;4,8;16,7;64,6;54,4;73,5;;;
28;Vague 11 : 22-24 juin;15,2;9,5;23,4;7,3;3,7;14,0;67,7;57,8;76,3;;;
32;Vague 11 : 22-24 juin;19,7;14,6;26,1;12,6;8,5;18,3;70,5;63,5;76,7;;;
44;Vague 11 : 22-24 juin;15,3;10,5;21,8;14,5;9,8;20,9;57,3;49,6;64,7;;;
52;Vague 11 : 22-24 juin;14,3;9,1;21,8;7,8;4,0;14,5;63,1;54,2;71,3;;;
53;Vague 11 : 22-24 juin;16,2;10,3;24,6;13,8;8,3;22,0;59,6;50,0;68,5;;;
75;Vague 11 : 22-24 juin;17,2;12,3;23,4;10,0;6,2;15,5;61,4;53,9;68,4;;;
