age;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;hyg4mes;hyg4mes_inf;hyg4mes_sup;dist3mes;dist3mes_inf;dist3mes_sup;nbmoy7mes;nbmoy7mes_inf;nbmoy7mes_sup;nbmoy4mesHyg;nbmoy4mesHyg_inf;nbmoy4mesHyg_sup;dist1m;dist1m_inf;dist1m_sup;portmasque;portmasque_inf;portmasque_sup;;;
25-34 ans;Vague 14 : 24-26 août;22,9;18,5;28,1;13,1;9,6;17,6;71,7;66,2;76,7;30,5;25,6;36,0;;;;;;;2,53;2,37;2,68;51,2;45,5;57,0;67,2;61,5;72,4;;;
35-49 ans;Vague 14 : 24-26 août;20,5;17,2;24,2;14,1;11,3;17,5;69,6;65,5;73,5;38,0;33,8;42,3;;;;;;;2,73;2,62;2,85;54,9;50,6;59,2;71,9;67,8;75,6;;;
50-64 ans;Vague 14 : 24-26 août;14,5;11,7;17,8;13,4;10,8;16,6;63,2;58,9;67,4;34,4;30,4;38,7;;;;;;;2,56;2,45;2,68;53,7;49,3;58,0;66,4;62,2;70,4;;;
65 ans et plus;Vague 14 : 24-26 août;10,7;8,3;13,6;9,0;6,8;11,8;55,3;50,9;59,7;26,1;22,4;30,1;;;;;;;2,39;2,27;2,51;61,5;57,1;65,7;70,4;66,2;74,2;;;
18-24 ans;Vague 15 : 21-23 sept.;28,0;20,6;36,8;13,2;8,0;21,0;84,1;76,6;89,5;32,9;25,1;41,8;;;;;;;2,58;2,35;2,80;41,5;32,9;50,7;67,1;58,0;75,1;;;
25-34 ans;Vague 15 : 21-23 sept.;27,7;22,9;33,1;9,8;6,9;13,7;70,1;64,5;75,1;26,1;21,4;31,5;;;;;;;2,38;2,22;2,54;45,0;39,4;50,7;68,8;63,3;73,9;;;
35-49 ans;Vague 15 : 21-23 sept.;19,8;16,6;23,5;11,0;8,6;14,0;65,1;60,8;69,1;37,2;33,1;41,5;;;;;;;2,68;2,56;2,79;49,7;45,4;54,0;73,3;69,3;77,0;;;
50-64 ans;Vague 15 : 21-23 sept.;15,0;12,2;18,3;14,8;12,2;18,2;64,8;60,5;68,9;36,5;32,4;40,8;;;;;;;2,68;2,56;2,79;57,3;52,9;61,6;76,9;73,0;80,4;;;
65 ans et plus;Vague 15 : 21-23 sept.;8,7;6,5;11,6;6,6;4,7;9,2;57,1;52,7;61,4;26,4;22,7;30,4;;;;;;;2,43;2,31;2,54;58,9;54,5;63,2;77,4;73,5;80,9;;;
18-24 ans;Vague 16 : 19-21 oct.;22,3;16,5;29,3;18,6;13,2;25,6;66,4;58,8;73,3;27,2;20,9;34,6;;;;;;;2,32;2,10;2,53;38,6;31,3;46,4;76,3;69,1;82,3;;;
