,reg,semaine,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,ps12mois,ps12mois_inf,ps12mois_sup,Libellé,vague,date
136,32,Vague 25 : 21-28 juin,23.4,17.9,29.8,16.6,11.9,22.7,70.6,63.6,76.7,6.1,3.5,10.2,Hauts-de-France,25, 21-28 juin
137,32,Vague 26 : 15-21 juillet,19.6,14.7,25.7,16.1,11.7,21.8,56.6,49.7,63.3,7.1,4.2,11.9,Hauts-de-France,26, 15-21 juillet
138,32,Vague 27 : 31 août-7 sept.,27.5,21.7,34.3,19.0,14.0,25.1,67.0,60.0,73.3,10.2,6.6,15.3,Hauts-de-France,27, 31 août-7 sept.
139,32,Vague 28 : 28 sept.-5 oct.,30.6,24.5,37.5,15.5,11.1,21.4,78.1,71.6,83.4,12.1,8.2,17.6,Hauts-de-France,28, 28 sept.-5 oct.
140,44,Vague 1 : 23-25 mars,29.5,23.2,36.8,,,,,,,,,,Grand-Est,1,23-25 mars
141,44,Vague 2 : 30 mars-1 avr,26.4,20.4,33.5,25.2,19.3,32.2,60.5,53.0,67.6,,,,Grand-Est,2,30 mars-1 avr
142,44,Vague 3 : 14-16 avr,16.8,12.0,22.9,17.5,12.6,23.9,63.4,56.0,70.2,,,,Grand-Est,3,14-16 avr
143,44,Vague 4 : 20-22 avr,24.9,18.8,32.1,25.8,19.6,33.0,64.4,64.4,71.3,,,,Grand-Est,4,20-22 avr
144,44,Vague 5 : 28-30 avr,19.8,14.1,27.2,23.5,17.4,30.9,65.4,57.4,72.6,,,,Grand-Est,5,28-30 avr
145,44,Vague 6 : 4-6 mai,21.3,15.8,28.2,18.6,13.5,25.2,59.7,52.2,66.8,,,,Grand-Est,6,4-6 mai
146,44,Vague 7 : 13-15 mai,17.5,12.5,23.9,16.2,11.3,22.7,60.9,53.3,68.0,,,,Grand-Est,7,13-15 mai
147,44,Vague 8 : 18-20 mai,19.7,14.1,26.7,10.3,6.3,16.2,68.8,61.0,75.7,,,,Grand-Est,8,18-20 mai
148,44,Vague 9 : 27-29 mai,20.6,15.1,27.5,12.1,7.8,18.1,62.2,54.5,69.3,,,,Grand-Est,9,27-29 mai
149,44,Vague 10 : 8-10 juin,17.6,12.4,24.5,11.8,7.7,17.7,65.4,57.8,72.3,,,,Grand-Est,10, 8-10 juin
150,44,Vague 11 : 22-24 juin,15.3,10.5,21.8,14.5,9.8,20.9,57.3,49.6,64.7,,,,Grand-Est,11, 22-24 juin
151,44,Vague 12 : 6-8 juillet,20.4,14.6,27.7,9.9,6.2,15.5,67.2,59.5,74.0,,,,Grand-Est,12, 6-8 juillet
152,44,Vague 13 : 20-22 juillet,17.6,12.7,24.0,11.4,7.5,17.1,64.7,57.1,71.7,,,,Grand-Est,13, 20-22 juillet
153,44,Vague 14 : 24-26 août,23.9,18.1,30.9,15.6,11.1,21.6,68.5,61.0,75.1,,,,Grand-Est,14, 24-26 août
154,44,Vague 15 : 21-23 sept.,15.0,10.3,21.4,10.8,6.9,16.3,66.3,58.7,73.2,,,,Grand-Est,15, 21-23 sept.
155,44,Vague 16 : 19-21 oct.,20.9,15.4,27.6,14.0,9.6,20.1,62.0,54.4,69.1,,,,Grand-Est,16, 19-21 oct.
156,44,Vague 17 : 4-6 nov.,21.9,16.2,29.0,20.4,14.9,27.3,53.3,45.5,61.0,,,,Grand-Est,17, 4-6 nov.
157,44,Vague 18 : 23-25 nov.,18.5,13.1,25.6,26.1,19.6,33.8,60.3,52.3,67.7,,,,Grand-Est,18, 23-25 nov.
